Descrição;Forma Pgto;Vencimento Original;Dias p/ Crédito;Bruto Cobrança (R$);Split Leuzera (R$);Taxa Antecipação (R$);Líquido Leuzera (R$)
"Mensalidade - Futevôlei - 1x/semana | FLEX";CREDIT_CARD;2026-04-15;13;149,00;64,82;0,78;64,04
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-15;13;269,00;117,21;1,41;115,80
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-15;13;189,00;82,28;0,99;81,29
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-15;13;189,00;82,28;0,99;81,29
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-15;13;269,00;117,21;1,41;115,80
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-15;13;189,00;82,28;0,99;81,29
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-16;14;269,00;117,21;1,52;115,69
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-16;14;269,00;117,21;1,52;115,69
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-16;14;269,00;117,21;1,52;115,69
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-16;14;269,00;117,21;1,52;115,69
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-16;14;189,00;82,28;1,07;81,21
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-16;14;189,00;82,28;1,07;81,21
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-17;15;269,00;117,21;1,63;115,58
"Mensalidade - Futevôlei - 1x/semana | FLEX";CREDIT_CARD;2026-04-17;15;149,00;64,82;0,90;63,92
"Mensalidade - Futevôlei - 1x/semana | FLEX";CREDIT_CARD;2026-04-17;15;149,00;64,82;0,90;63,92
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-17;15;189,00;82,28;1,14;81,14
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-17;15;189,00;82,28;1,14;81,14
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-17;15;269,00;117,21;1,63;115,58
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-17;15;269,00;117,21;1,63;115,58
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-17;15;189,00;82,28;1,14;81,14
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-17;15;189,00;82,28;1,14;81,14
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-17;15;189,00;82,28;1,14;81,14
"Mensalidade - Futevôlei - 1x/semana | FLEX";CREDIT_CARD;2026-04-17;15;149,00;64,82;0,90;63,92
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-17;15;189,00;82,28;1,14;81,14
"Altera��o de plano";CREDIT_CARD;2026-04-20;18;80,00;34,70;0,58;34,12
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-20;18;189,00;82,28;1,37;80,91
"Mensalidade - Futevôlei - 3x/semana ";CREDIT_CARD;2026-04-20;18;329,00;143,40;2,39;141,01
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 3x/semana ";CREDIT_CARD;2026-04-20;18;329,00;143,40;2,39;141,01
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-20;18;189,00;82,28;1,37;80,91
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 1x/semana | FLEX";CREDIT_CARD;2026-04-20;18;149,00;64,82;1,08;63,74
"Mensalidade - Futevôlei - 1x/semana | FLEX";CREDIT_CARD;2026-04-20;18;149,00;64,82;1,08;63,74
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-20;18;189,00;82,28;1,37;80,91
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 3x/semana ";CREDIT_CARD;2026-04-20;18;329,00;143,40;2,39;141,01
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-20;18;189,00;82,28;1,37;80,91
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-20;18;269,00;117,21;1,95;115,26
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-20;18;189,00;82,28;1,37;80,91
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-22;20;269,00;117,21;2,17;115,04
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-22;20;269,00;117,21;2,17;115,04
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-22;20;269,00;117,21;2,17;115,04
"Mensalidade - Futevôlei - 1x/semana";CREDIT_CARD;2026-04-22;20;189,00;82,28;1,52;80,76
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-22;20;269,00;117,21;2,17;115,04
"Mensalidade - Futevôlei - 2x/semana ";CREDIT_CARD;2026-04-22;20;269,00;117,21;2,17;115,04
